Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.01,0.01,10,20,0.5761
777,0.01,0.001,10,20,0.6096
777,0.001,0.01,10,20,0.6134
777,0.001,0.001,10,20,0.6089
777,0.001,0.01,10,20,0.6134
777,0.001,0.001,10,20,0.6089
777,0.01,0.01,10,30,0.5559
777,0.01,0.001,10,30,0.6068
777,0.001,0.01,10,30,0.6015
777,0.001,0.001,10,30,0.6149
777,0.001,0.01,10,30,0.6015
777,0.001,0.001,10,30,0.6149
777,0.01,0.01,10,50,0.6209
777,0.01,0.001,10,50,0.5995
777,0.001,0.01,10,50,0.5684
777,0.001,0.001,10,50,0.6205
777,0.001,0.01,10,50,0.5684
777,0.001,0.001,10,50,0.6205
777,0.01,0.01,39,20,0.6408
777,0.01,0.001,39,20,0.5527
777,0.001,0.01,39,20,0.6520
777,0.001,0.001,39,20,0.5454
777,0.001,0.01,39,20,0.6520
777,0.001,0.001,39,20,0.5454
777,0.01,0.01,39,30,0.6424
777,0.01,0.001,39,30,0.5719
777,0.001,0.01,39,30,0.6694
777,0.001,0.001,39,30,0.5701
777,0.001,0.01,39,30,0.6694
777,0.001,0.001,39,30,0.5701
777,0.01,0.01,39,50,0.5620
777,0.01,0.001,39,50,0.5721
777,0.001,0.01,39,50,0.6716
777,0.001,0.001,39,50,0.5815
777,0.001,0.01,39,50,0.6716
777,0.001,0.001,39,50,0.5815
777,0.01,0.01,78,20,0.6507
777,0.01,0.001,78,20,0.6414
777,0.001,0.01,78,20,0.6903
777,0.001,0.001,78,20,0.6480
777,0.001,0.01,78,20,0.6903
777,0.001,0.001,78,20,0.6480
777,0.01,0.01,78,30,0.6207
777,0.01,0.001,78,30,0.6409
777,0.001,0.01,78,30,0.6936
777,0.001,0.001,78,30,0.6491
777,0.001,0.01,78,30,0.6936
777,0.001,0.001,78,30,0.6491
777,0.01,0.01,78,50,0.5681
777,0.01,0.001,78,50,0.6477
777,0.001,0.01,78,50,0.7039
777,0.001,0.001,78,50,0.6519
777,0.001,0.01,78,50,0.7039
777,0.001,0.001,78,50,0.6519
