Seed,LOF_AUC,KNN_AUC,MO_GAAL_AUC,AnoGAN_AUC
111.0,0.7295081967213115,0.7264344262295082,0.6229508196721312,0.6967213114754098
222.0,0.7295081967213115,0.7264344262295082,0.6239754098360656,0.6454918032786885
333.0,0.7295081967213115,0.7264344262295082,0.5993852459016393,0.8739754098360655
444.0,0.7295081967213115,0.7264344262295082,0.6127049180327868,0.7418032786885246
555.0,0.7295081967213115,0.7264344262295082,0.6670081967213115,0.6926229508196722
666.0,0.7295081967213115,0.7264344262295082,0.6301229508196722,0.2930327868852459
777.0,0.7295081967213115,0.7264344262295082,0.5081967213114754,0.5829918032786885
888.0,0.7295081967213115,0.7264344262295082,0.6977459016393442,0.7008196721311475
999.0,0.7295081967213115,0.7264344262295082,0.6301229508196722,0.7715163934426229
1110.0,0.7295081967213115,0.7264344262295082,0.45799180327868855,0.5594262295081968
